text,property,response,sentence,instr1.thisRepN,instr1.thisTrialN,instr1.thisN,instr1.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,instr2.thisRepN,instr2.thisTrialN,instr2.thisN,instr2.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,date,frameRate,expName,session,participant,
"Welcome to the study! This lab has been developing a new machine learning algorithm, but we need humans to help confirm that the algorithm's data is correct. Your responses will be used to help us improve our algorithm.",,,,0,0,0,0,,,,,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
"You will be reading sentences and responding to them. A sentence with an underlined word will appear on the screen. When that happens, please fully comprehend the sentence as you read it out loud. After six seconds, the sentence will disappear and a short phrase will appear on the screen. Your job is simply to tell us whether the phrase can be a property of the underlined word.",,,,0,1,1,1,,,,,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
"If the phrase can be a property of the underlined word, press the green key. And if the phrase can't be a property of the underlined word, press the red key. Please respond as quickly as possible,but avoid making errors.",,,,0,2,2,2,,,,,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
"After this slide you'll begin a practice session. If you make any mistakes an experimenter will be standing by to correct you. Just remember to read all the sentences (but not the phrases) out loud. In order to move between trials in the experiment, press the space bar. When you're ready to begin, please turn around and tell the experimenter.",,,,0,3,3,3,,,,,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,has a smell,j,The skunk was under a large willow.,,,,,0,0,0,0,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,can be tied in a knot,f,The refrigerator was set to a low temperature to cool the beer.,,,,,0,1,1,3,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,can contain money,j,The bank was robbed by three bandits.,,,,,0,2,2,1,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,has gills,f,The cheese was growing moldy in the refrigerator.,,,,,0,3,3,2,,,,,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
"That was the practice session. The following session will have exactly the same format, except that you will not be given feedback about whether your answers were correct. When you are ready to begin or have any questions, please turn around and inform the experimenter.",,,,,,,,,,,,0,0,0,0,,,,,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,has a smell,,The skunk was under a large willow.,,,,,,,,,,,,,0,0,0,0,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,can contain money,,The bank was robbed by three bandits.,,,,,,,,,,,,,0,1,1,1,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,can be tied in a knot,,The refrigerator was set to a low temperature to cool the beer.,,,,,,,,,,,,,0,2,2,3,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
,has gills,,The cheese was growing moldy in the refrigerator.,,,,,,,,,,,,,0,3,3,2,2014_Nov_18_0143,49.6840368894,srinivasan,001,999,
